Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Hombres;51 años;Total;Total Nacional;;;2023;386.474
Hombres;51 años;Española;Total Nacional;;;2023;341.803
Hombres;51 años;Extranjera;Total Nacional;;;2023;44.671
Hombres;52 años;Total;Total Nacional;;;2023;379.656
Hombres;52 años;Española;Total Nacional;;;2023;335.479
Hombres;52 años;Extranjera;Total Nacional;;;2023;44.177
Hombres;53 años;Total;Total Nacional;;;2023;373.092
Hombres;53 años;Española;Total Nacional;;;2023;332.049
Hombres;53 años;Extranjera;Total Nacional;;;2023;41.043
Hombres;54 años;Total;Total Nacional;;;2023;367.586
Hombres;54 años;Española;Total Nacional;;;2023;328.357
Hombres;54 años;Extranjera;Total Nacional;;;2023;39.229
Hombres;55 años;Total;Total Nacional;;;2023;367.472
Hombres;55 años;Española;Total Nacional;;;2023;331.307
Hombres;55 años;Extranjera;Total Nacional;;;2023;36.165
Hombres;56 años;Total;Total Nacional;;;2023;357.123
Hombres;56 años;Española;Total Nacional;;;2023;324.841
Hombres;56 años;Extranjera;Total Nacional;;;2023;32.282
Hombres;57 años;Total;Total Nacional;;;2023;351.388
Hombres;57 años;Española;Total Nacional;;;2023;320.933
Hombres;57 años;Extranjera;Total Nacional;;;2023;30.455
Hombres;58 años;Total;Total Nacional;;;2023;353.900
Hombres;58 años;Española;Total Nacional;;;2023;324.540
Hombres;58 años;Extranjera;Total Nacional;;;2023;29.360
Hombres;59 años;Total;Total Nacional;;;2023;334.961
Hombres;59 años;Española;Total Nacional;;;2023;307.867
Hombres;59 años;Extranjera;Total Nacional;;;2023;27.094
Hombres;60 años;Total;Total Nacional;;;2023;321.031
Hombres;60 años;Española;Total Nacional;;;2023;295.425
Hombres;60 años;Extranjera;Total Nacional;;;2023;25.606
Hombres;61 años;Total;Total Nacional;;;2023;311.291
Hombres;61 años;Española;Total Nacional;;;2023;288.283
Hombres;61 años;Extranjera;Total Nacional;;;2023;23.008
Hombres;62 años;Total;Total Nacional;;;2023;309.848
Hombres;62 años;Española;Total Nacional;;;2023;287.170
Hombres;62 años;Extranjera;Total Nacional;;;2023;22.678
Hombres;63 años;Total;Total Nacional;;;2023;299.397
Hombres;63 años;Española;Total Nacional;;;2023;278.703
Hombres;63 años;Extranjera;Total Nacional;;;2023;20.694
Hombres;64 años;Total;Total Nacional;;;2023;289.561
Hombres;64 años;Española;Total Nacional;;;2023;270.037
Hombres;64 años;Extranjera;Total Nacional;;;2023;19.524
Hombres;65 años;Total;Total Nacional;;;2023;279.455
Hombres;65 años;Española;Total Nacional;;;2023;261.441
Hombres;65 años;Extranjera;Total Nacional;;;2023;18.014
Hombres;66 años;Total;Total Nacional;;;2023;257.702
Hombres;66 años;Española;Total Nacional;;;2023;240.980
Hombres;66 años;Extranjera;Total Nacional;;;2023;16.722
Hombres;67 años;Total;Total Nacional;;;2023;248.033
Hombres;67 años;Española;Total Nacional;;;2023;232.031
Hombres;67 años;Extranjera;Total Nacional;;;2023;16.002
Hombres;68 años;Total;Total Nacional;;;2023;233.187
Hombres;68 años;Española;Total Nacional;;;2023;217.766
Hombres;68 años;Extranjera;Total Nacional;;;2023;15.421
Hombres;69 años;Total;Total Nacional;;;2023;231.761
Hombres;69 años;Española;Total Nacional;;;2023;217.403
Hombres;69 años;Extranjera;Total Nacional;;;2023;14.358
Hombres;70 años;Total;Total Nacional;;;2023;228.126
Hombres;70 años;Española;Total Nacional;;;2023;214.281
Hombres;70 años;Extranjera;Total Nacional;;;2023;13.845
Hombres;71 años;Total;Total Nacional;;;2023;209.968
Hombres;71 años;Española;Total Nacional;;;2023;197.273
Hombres;71 años;Extranjera;Total Nacional;;;2023;12.695
Hombres;72 años;Total;Total Nacional;;;2023;200.932
Hombres;72 años;Española;Total Nacional;;;2023;188.847
Hombres;72 años;Extranjera;Total Nacional;;;2023;12.085
Hombres;73 años;Total;Total Nacional;;;2023;203.858
Hombres;73 años;Española;Total Nacional;;;2023;192.747
Hombres;73 años;Extranjera;Total Nacional;;;2023;11.111
Hombres;74 años;Total;Total Nacional;;;2023;208.573
Hombres;74 años;Española;Total Nacional;;;2023;197.728
Hombres;74 años;Extranjera;Total Nacional;;;2023;10.845
Hombres;75 años;Total;Total Nacional;;;2023;186.291
Hombres;75 años;Española;Total Nacional;;;2023;175.869
Hombres;75 años;Extranjera;Total Nacional;;;2023;10.422
Hombres;76 años;Total;Total Nacional;;;2023;172.605
Hombres;76 años;Española;Total Nacional;;;2023;163.377
Hombres;76 años;Extranjera;Total Nacional;;;2023;9.228
Hombres;77 años;Total;Total Nacional;;;2023;174.492
Hombres;77 años;Española;Total Nacional;;;2023;166.887
Hombres;77 años;Extranjera;Total Nacional;;;2023;7.605
Hombres;78 años;Total;Total Nacional;;;2023;160.712
Hombres;78 años;Española;Total Nacional;;;2023;153.179
Hombres;78 años;Extranjera;Total Nacional;;;2023;7.533
Hombres;79 años;Total;Total Nacional;;;2023;152.318
Hombres;79 años;Española;Total Nacional;;;2023;145.684
Hombres;79 años;Extranjera;Total Nacional;;;2023;6.634
Hombres;80 años;Total;Total Nacional;;;2023;126.192
Hombres;80 años;Española;Total Nacional;;;2023;120.290
Hombres;80 años;Extranjera;Total Nacional;;;2023;5.902
Hombres;81 años;Total;Total Nacional;;;2023;111.003
Hombres;81 años;Española;Total Nacional;;;2023;105.954
Hombres;81 años;Extranjera;Total Nacional;;;2023;5.049
Hombres;82 años;Total;Total Nacional;;;2023;127.248
Hombres;82 años;Española;Total Nacional;;;2023;122.735
Hombres;82 años;Extranjera;Total Nacional;;;2023;4.513
Hombres;83 años;Total;Total Nacional;;;2023;77.384
Hombres;83 años;Española;Total Nacional;;;2023;73.499
Hombres;83 años;Extranjera;Total Nacional;;;2023;3.885
Hombres;84 años;Total;Total Nacional;;;2023;82.092
Hombres;84 años;Española;Total Nacional;;;2023;78.717
Hombres;84 años;Extranjera;Total Nacional;;;2023;3.375
Hombres;85 años;Total;Total Nacional;;;2023;84.542
Hombres;85 años;Española;Total Nacional;;;2023;81.858
Hombres;85 años;Extranjera;Total Nacional;;;2023;2.684
Hombres;86 años;Total;Total Nacional;;;2023;82.899
Hombres;86 años;Española;Total Nacional;;;2023;80.745
Hombres;86 años;Extranjera;Total Nacional;;;2023;2.154
Hombres;87 años;Total;Total Nacional;;;2023;73.122
Hombres;87 años;Española;Total Nacional;;;2023;71.345
Hombres;87 años;Extranjera;Total Nacional;;;2023;1.777
Hombres;88 años;Total;Total Nacional;;;2023;63.440
Hombres;88 años;Española;Total Nacional;;;2023;62.046
Hombres;88 años;Extranjera;Total Nacional;;;2023;1.394
Hombres;89 años;Total;Total Nacional;;;2023;55.346
Hombres;89 años;Española;Total Nacional;;;2023;54.307
Hombres;89 años;Extranjera;Total Nacional;;;2023;1.039
Hombres;90 años;Total;Total Nacional;;;2023;46.798
Hombres;90 años;Española;Total Nacional;;;2023;45.977
Hombres;90 años;Extranjera;Total Nacional;;;2023;821
Hombres;91 años;Total;Total Nacional;;;2023;36.660
Hombres;91 años;Española;Total Nacional;;;2023;36.016
Hombres;91 años;Extranjera;Total Nacional;;;2023;644
Hombres;92 años;Total;Total Nacional;;;2023;28.923
Hombres;92 años;Española;Total Nacional;;;2023;28.379
Hombres;92 años;Extranjera;Total Nacional;;;2023;544
Hombres;93 años;Total;Total Nacional;;;2023;21.315
Hombres;93 años;Española;Total Nacional;;;2023;20.984
Hombres;93 años;Extranjera;Total Nacional;;;2023;331
Hombres;94 años;Total;Total Nacional;;;2023;16.128
Hombres;94 años;Española;Total Nacional;;;2023;15.854
Hombres;94 años;Extranjera;Total Nacional;;;2023;274
Hombres;95 años;Total;Total Nacional;;;2023;10.961
Hombres;95 años;Española;Total Nacional;;;2023;10.778
Hombres;95 años;Extranjera;Total Nacional;;;2023;183
Hombres;96 años;Total;Total Nacional;;;2023;7.785
Hombres;96 años;Española;Total Nacional;;;2023;7.658
Hombres;96 años;Extranjera;Total Nacional;;;2023;127
Hombres;97 años;Total;Total Nacional;;;2023;5.186
Hombres;97 años;Española;Total Nacional;;;2023;5.107
Hombres;97 años;Extranjera;Total Nacional;;;2023;79
Hombres;98 años;Total;Total Nacional;;;2023;3.554
Hombres;98 años;Española;Total Nacional;;;2023;3.516
Hombres;98 años;Extranjera;Total Nacional;;;2023;38
Hombres;99 años;Total;Total Nacional;;;2023;2.371
Hombres;99 años;Española;Total Nacional;;;2023;2.332
Hombres;99 años;Extranjera;Total Nacional;;;2023;39
Hombres;100 y más años;Total;Total Nacional;;;2023;2.578
Hombres;100 y más años;Española;Total Nacional;;;2023;2.510
Hombres;100 y más años;Extranjera;Total Nacional;;;2023;68
Mujeres;Todas las edades;Total;Total Nacional;;;2023;24.519.768
Mujeres;Todas las edades;Española;Total Nacional;;;2023;21.473.559
Mujeres;Todas las edades;Extranjera;Total Nacional;;;2023;3.046.209
Mujeres;0 años;Total;Total Nacional;;;2023;160.168
Mujeres;0 años;Española;Total Nacional;;;2023;136.118
Mujeres;0 años;Extranjera;Total Nacional;;;2023;24.050
Mujeres;1 año;Total;Total Nacional;;;2023;168.032
Mujeres;1 año;Española;Total Nacional;;;2023;142.973
Mujeres;1 año;Extranjera;Total Nacional;;;2023;25.059
Mujeres;2 años;Total;Total Nacional;;;2023;169.912
Mujeres;2 años;Española;Total Nacional;;;2023;144.449
Mujeres;2 años;Extranjera;Total Nacional;;;2023;25.463
Mujeres;3 años;Total;Total Nacional;;;2023;180.252
Mujeres;3 años;Española;Total Nacional;;;2023;153.767
Mujeres;3 años;Extranjera;Total Nacional;;;2023;26.485
Mujeres;4 años;Total;Total Nacional;;;2023;190.155
Mujeres;4 años;Española;Total Nacional;;;2023;163.047
Mujeres;4 años;Extranjera;Total Nacional;;;2023;27.108
Mujeres;5 años;Total;Total Nacional;;;2023;202.169
Mujeres;5 años;Española;Total Nacional;;;2023;174.860
Mujeres;5 años;Extranjera;Total Nacional;;;2023;27.309
Mujeres;6 años;Total;Total Nacional;;;2023;213.178
Mujeres;6 años;Española;Total Nacional;;;2023;184.996
Mujeres;6 años;Extranjera;Total Nacional;;;2023;28.182
Mujeres;7 años;Total;Total Nacional;;;2023;219.306
Mujeres;7 años;Española;Total Nacional;;;2023;190.807
Mujeres;7 años;Extranjera;Total Nacional;;;2023;28.499
Mujeres;8 años;Total;Total Nacional;;;2023;222.618
Mujeres;8 años;Española;Total Nacional;;;2023;193.739
Mujeres;8 años;Extranjera;Total Nacional;;;2023;28.879
Mujeres;9 años;Total;Total Nacional;;;2023;221.085
Mujeres;9 años;Española;Total Nacional;;;2023;193.328
Mujeres;9 años;Extranjera;Total Nacional;;;2023;27.757
Mujeres;10 años;Total;Total Nacional;;;2023;233.380
Mujeres;10 años;Española;Total Nacional;;;2023;205.208
Mujeres;10 años;Extranjera;Total Nacional;;;2023;28.172
Mujeres;11 años;Total;Total Nacional;;;2023;239.146
Mujeres;11 años;Española;Total Nacional;;;2023;211.725
Mujeres;11 años;Extranjera;Total Nacional;;;2023;27.421
Mujeres;12 años;Total;Total Nacional;;;2023;245.136
Mujeres;12 años;Española;Total Nacional;;;2023;217.230
Mujeres;12 años;Extranjera;Total Nacional;;;2023;27.906
Mujeres;13 años;Total;Total Nacional;;;2023;248.455
Mujeres;13 años;Española;Total Nacional;;;2023;220.987
Mujeres;13 años;Extranjera;Total Nacional;;;2023;27.468
Mujeres;14 años;Total;Total Nacional;;;2023;259.775
Mujeres;14 años;Española;Total Nacional;;;2023;232.920
Mujeres;14 años;Extranjera;Total Nacional;;;2023;26.855
Mujeres;15 años;Total;Total Nacional;;;2023;250.950
Mujeres;15 años;Española;Total Nacional;;;2023;225.888
Mujeres;15 años;Extranjera;Total Nacional;;;2023;25.062
Mujeres;16 años;Total;Total Nacional;;;2023;250.225
Mujeres;16 años;Española;Total Nacional;;;2023;225.433
Mujeres;16 años;Extranjera;Total Nacional;;;2023;24.792
Mujeres;17 años;Total;Total Nacional;;;2023;246.068
Mujeres;17 años;Española;Total Nacional;;;2023;221.942
Mujeres;17 años;Extranjera;Total Nacional;;;2023;24.126
Mujeres;18 años;Total;Total Nacional;;;2023;246.596
Mujeres;18 años;Española;Total Nacional;;;2023;219.916
Mujeres;18 años;Extranjera;Total Nacional;;;2023;26.680
Mujeres;19 años;Total;Total Nacional;;;2023;247.530
Mujeres;19 años;Española;Total Nacional;;;2023;217.954
Mujeres;19 años;Extranjera;Total Nacional;;;2023;29.576
Mujeres;20 años;Total;Total Nacional;;;2023;240.923
Mujeres;20 años;Española;Total Nacional;;;2023;209.307
Mujeres;20 años;Extranjera;Total Nacional;;;2023;31.616
Mujeres;21 años;Total;Total Nacional;;;2023;242.482
Mujeres;21 años;Española;Total Nacional;;;2023;207.685
Mujeres;21 años;Extranjera;Total Nacional;;;2023;34.797
Mujeres;22 años;Total;Total Nacional;;;2023;246.143
Mujeres;22 años;Española;Total Nacional;;;2023;205.995
Mujeres;22 años;Extranjera;Total Nacional;;;2023;40.148
Mujeres;23 años;Total;Total Nacional;;;2023;244.497
Mujeres;23 años;Española;Total Nacional;;;2023;200.822
Mujeres;23 años;Extranjera;Total Nacional;;;2023;43.675
Mujeres;24 años;Total;Total Nacional;;;2023;239.841
Mujeres;24 años;Española;Total Nacional;;;2023;192.600
Mujeres;24 años;Extranjera;Total Nacional;;;2023;47.241
Mujeres;25 años;Total;Total Nacional;;;2023;247.377
Mujeres;25 años;Española;Total Nacional;;;2023;195.805
Mujeres;25 años;Extranjera;Total Nacional;;;2023;51.572
Mujeres;26 años;Total;Total Nacional;;;2023;247.592
Mujeres;26 años;Española;Total Nacional;;;2023;193.187
Mujeres;26 años;Extranjera;Total Nacional;;;2023;54.405
Mujeres;27 años;Total;Total Nacional;;;2023;250.339
Mujeres;27 años;Española;Total Nacional;;;2023;192.212
Mujeres;27 años;Extranjera;Total Nacional;;;2023;58.127
Mujeres;28 años;Total;Total Nacional;;;2023;255.384
Mujeres;28 años;Española;Total Nacional;;;2023;194.159
Mujeres;28 años;Extranjera;Total Nacional;;;2023;61.225
Mujeres;29 años;Total;Total Nacional;;;2023;264.010
Mujeres;29 años;Española;Total Nacional;;;2023;201.089
Mujeres;29 años;Extranjera;Total Nacional;;;2023;62.921
Mujeres;30 años;Total;Total Nacional;;;2023;272.290
Mujeres;30 años;Española;Total Nacional;;;2023;207.385
Mujeres;30 años;Extranjera;Total Nacional;;;2023;64.905
Mujeres;31 años;Total;Total Nacional;;;2023;271.388
Mujeres;31 años;Española;Total Nacional;;;2023;205.712
Mujeres;31 años;Extranjera;Total Nacional;;;2023;65.676
Mujeres;32 años;Total;Total Nacional;;;2023;276.333
Mujeres;32 años;Española;Total Nacional;;;2023;208.063
Mujeres;32 años;Extranjera;Total Nacional;;;2023;68.270
Mujeres;33 años;Total;Total Nacional;;;2023;281.866
Mujeres;33 años;Española;Total Nacional;;;2023;212.046
Mujeres;33 años;Extranjera;Total Nacional;;;2023;69.820
Mujeres;34 años;Total;Total Nacional;;;2023;287.516
Mujeres;34 años;Española;Total Nacional;;;2023;216.631
Mujeres;34 años;Extranjera;Total Nacional;;;2023;70.885
Mujeres;35 años;Total;Total Nacional;;;2023;291.269
Mujeres;35 años;Española;Total Nacional;;;2023;220.687
Mujeres;35 años;Extranjera;Total Nacional;;;2023;70.582
Mujeres;36 años;Total;Total Nacional;;;2023;299.325
Mujeres;36 años;Española;Total Nacional;;;2023;228.715
Mujeres;36 años;Extranjera;Total Nacional;;;2023;70.610
Mujeres;37 años;Total;Total Nacional;;;2023;308.472
Mujeres;37 años;Española;Total Nacional;;;2023;238.462
Mujeres;37 años;Extranjera;Total Nacional;;;2023;70.010
Mujeres;38 años;Total;Total Nacional;;;2023;319.509
Mujeres;38 años;Española;Total Nacional;;;2023;249.743
Mujeres;38 años;Extranjera;Total Nacional;;;2023;69.766
Mujeres;39 años;Total;Total Nacional;;;2023;329.170
Mujeres;39 años;Española;Total Nacional;;;2023;260.810
Mujeres;39 años;Extranjera;Total Nacional;;;2023;68.360
Mujeres;40 años;Total;Total Nacional;;;2023;346.212
Mujeres;40 años;Española;Total Nacional;;;2023;277.649
Mujeres;40 años;Extranjera;Total Nacional;;;2023;68.563
Mujeres;41 años;Total;Total Nacional;;;2023;359.076
Mujeres;41 años;Española;Total Nacional;;;2023;292.108
Mujeres;41 años;Extranjera;Total Nacional;;;2023;66.968
Mujeres;42 años;Total;Total Nacional;;;2023;374.858
Mujeres;42 años;Española;Total Nacional;;;2023;308.661
Mujeres;42 años;Extranjera;Total Nacional;;;2023;66.197
Mujeres;43 años;Total;Total Nacional;;;2023;384.286
Mujeres;43 años;Española;Total Nacional;;;2023;320.987
Mujeres;43 años;Extranjera;Total Nacional;;;2023;63.299
Mujeres;44 años;Total;Total Nacional;;;2023;398.729
Mujeres;44 años;Española;Total Nacional;;;2023;337.736
Mujeres;44 años;Extranjera;Total Nacional;;;2023;60.993
Mujeres;45 años;Total;Total Nacional;;;2023;401.814
Mujeres;45 años;Española;Total Nacional;;;2023;343.631
Mujeres;45 años;Extranjera;Total Nacional;;;2023;58.183
Mujeres;46 años;Total;Total Nacional;;;2023;409.033
Mujeres;46 años;Española;Total Nacional;;;2023;353.749
Mujeres;46 años;Extranjera;Total Nacional;;;2023;55.284
Mujeres;47 años;Total;Total Nacional;;;2023;404.397
Mujeres;47 años;Española;Total Nacional;;;2023;351.886
Mujeres;47 años;Extranjera;Total Nacional;;;2023;52.511
Mujeres;48 años;Total;Total Nacional;;;2023;402.055
Mujeres;48 años;Española;Total Nacional;;;2023;351.777
Mujeres;48 años;Extranjera;Total Nacional;;;2023;50.278
Mujeres;49 años;Total;Total Nacional;;;2023;391.134
Mujeres;49 años;Española;Total Nacional;;;2023;344.699
Mujeres;49 años;Extranjera;Total Nacional;;;2023;46.435
Mujeres;50 años;Total;Total Nacional;;;2023;389.854
Mujeres;50 años;Española;Total Nacional;;;2023;344.478
Mujeres;50 años;Extranjera;Total Nacional;;;2023;45.376
Mujeres;51 años;Total;Total Nacional;;;2023;383.647
Mujeres;51 años;Española;Total Nacional;;;2023;340.363
Mujeres;51 años;Extranjera;Total Nacional;;;2023;43.284
Mujeres;52 años;Total;Total Nacional;;;2023;378.513
Mujeres;52 años;Española;Total Nacional;;;2023;336.454
Mujeres;52 años;Extranjera;Total Nacional;;;2023;42.059
Mujeres;53 años;Total;Total Nacional;;;2023;374.841
Mujeres;53 años;Española;Total Nacional;;;2023;334.845
Mujeres;53 años;Extranjera;Total Nacional;;;2023;39.996
Mujeres;54 años;Total;Total Nacional;;;2023;371.961
Mujeres;54 años;Española;Total Nacional;;;2023;332.726
Mujeres;54 años;Extranjera;Total Nacional;;;2023;39.235
Mujeres;55 años;Total;Total Nacional;;;2023;374.861
Mujeres;55 años;Española;Total Nacional;;;2023;338.103
Mujeres;55 años;Extranjera;Total Nacional;;;2023;36.758
Mujeres;56 años;Total;Total Nacional;;;2023;364.887
Mujeres;56 años;Española;Total Nacional;;;2023;332.354
Mujeres;56 años;Extranjera;Total Nacional;;;2023;32.533
Mujeres;57 años;Total;Total Nacional;;;2023;362.766
Mujeres;57 años;Española;Total Nacional;;;2023;331.574
Mujeres;57 años;Extranjera;Total Nacional;;;2023;31.192
Mujeres;58 años;Total;Total Nacional;;;2023;367.219
Mujeres;58 años;Española;Total Nacional;;;2023;336.507
Mujeres;58 años;Extranjera;Total Nacional;;;2023;30.712
Mujeres;59 años;Total;Total Nacional;;;2023;348.521
Mujeres;59 años;Española;Total Nacional;;;2023;319.532
Mujeres;59 años;Extranjera;Total Nacional;;;2023;28.989
Mujeres;60 años;Total;Total Nacional;;;2023;337.131
Mujeres;60 años;Española;Total Nacional;;;2023;309.833
Mujeres;60 años;Extranjera;Total Nacional;;;2023;27.298
Mujeres;61 años;Total;Total Nacional;;;2023;329.018
Mujeres;61 años;Española;Total Nacional;;;2023;303.869
Mujeres;61 años;Extranjera;Total Nacional;;;2023;25.149
Mujeres;62 años;Total;Total Nacional;;;2023;329.622
Mujeres;62 años;Española;Total Nacional;;;2023;304.742
Mujeres;62 años;Extranjera;Total Nacional;;;2023;24.880
Mujeres;63 años;Total;Total Nacional;;;2023;319.535
Mujeres;63 años;Española;Total Nacional;;;2023;296.338
Mujeres;63 años;Extranjera;Total Nacional;;;2023;23.197
Mujeres;64 años;Total;Total Nacional;;;2023;311.700
Mujeres;64 años;Española;Total Nacional;;;2023;289.589
Mujeres;64 años;Extranjera;Total Nacional;;;2023;22.111
Mujeres;65 años;Total;Total Nacional;;;2023;303.926
Mujeres;65 años;Española;Total Nacional;;;2023;283.083
Mujeres;65 años;Extranjera;Total Nacional;;;2023;20.843
Mujeres;66 años;Total;Total Nacional;;;2023;282.536
Mujeres;66 años;Española;Total Nacional;;;2023;263.169
Mujeres;66 años;Extranjera;Total Nacional;;;2023;19.367
Mujeres;67 años;Total;Total Nacional;;;2023;274.084
Mujeres;67 años;Española;Total Nacional;;;2023;255.217
Mujeres;67 años;Extranjera;Total Nacional;;;2023;18.867
Mujeres;68 años;Total;Total Nacional;;;2023;261.488
Mujeres;68 años;Española;Total Nacional;;;2023;243.496
Mujeres;68 años;Extranjera;Total Nacional;;;2023;17.992
Mujeres;69 años;Total;Total Nacional;;;2023;259.479
Mujeres;69 años;Española;Total Nacional;;;2023;242.826
Mujeres;69 años;Extranjera;Total Nacional;;;2023;16.653
Mujeres;70 años;Total;Total Nacional;;;2023;256.222
Mujeres;70 años;Española;Total Nacional;;;2023;240.076
Mujeres;70 años;Extranjera;Total Nacional;;;2023;16.146
Mujeres;71 años;Total;Total Nacional;;;2023;240.160
Mujeres;71 años;Española;Total Nacional;;;2023;225.592
Mujeres;71 años;Extranjera;Total Nacional;;;2023;14.568
Mujeres;72 años;Total;Total Nacional;;;2023;232.837
Mujeres;72 años;Española;Total Nacional;;;2023;218.593
Mujeres;72 años;Extranjera;Total Nacional;;;2023;14.244
Mujeres;73 años;Total;Total Nacional;;;2023;241.061
Mujeres;73 años;Española;Total Nacional;;;2023;227.849
Mujeres;73 años;Extranjera;Total Nacional;;;2023;13.212
Mujeres;74 años;Total;Total Nacional;;;2023;249.522
Mujeres;74 años;Española;Total Nacional;;;2023;237.067
Mujeres;74 años;Extranjera;Total Nacional;;;2023;12.455
Mujeres;75 años;Total;Total Nacional;;;2023;225.812
Mujeres;75 años;Española;Total Nacional;;;2023;214.082
Mujeres;75 años;Extranjera;Total Nacional;;;2023;11.730
Mujeres;76 años;Total;Total Nacional;;;2023;214.313
Mujeres;76 años;Española;Total Nacional;;;2023;203.775
Mujeres;76 años;Extranjera;Total Nacional;;;2023;10.538
Mujeres;77 años;Total;Total Nacional;;;2023;220.468
Mujeres;77 años;Española;Total Nacional;;;2023;211.917
Mujeres;77 años;Extranjera;Total Nacional;;;2023;8.551
Mujeres;78 años;Total;Total Nacional;;;2023;206.344
Mujeres;78 años;Española;Total Nacional;;;2023;198.029
Mujeres;78 años;Extranjera;Total Nacional;;;2023;8.315
Mujeres;79 años;Total;Total Nacional;;;2023;199.657
Mujeres;79 años;Española;Total Nacional;;;2023;192.426
Mujeres;79 años;Extranjera;Total Nacional;;;2023;7.231
Mujeres;80 años;Total;Total Nacional;;;2023;168.022
Mujeres;80 años;Española;Total Nacional;;;2023;161.500
Mujeres;80 años;Extranjera;Total Nacional;;;2023;6.522
Mujeres;81 años;Total;Total Nacional;;;2023;151.568
Mujeres;81 años;Española;Total Nacional;;;2023;145.901
Mujeres;81 años;Extranjera;Total Nacional;;;2023;5.667
Mujeres;82 años;Total;Total Nacional;;;2023;181.220
Mujeres;82 años;Española;Total Nacional;;;2023;175.943
Mujeres;82 años;Extranjera;Total Nacional;;;2023;5.277
Mujeres;83 años;Total;Total Nacional;;;2023;116.940
Mujeres;83 años;Española;Total Nacional;;;2023;112.475
Mujeres;83 años;Extranjera;Total Nacional;;;2023;4.465
Mujeres;84 años;Total;Total Nacional;;;2023;127.108
Mujeres;84 años;Española;Total Nacional;;;2023;123.292
Mujeres;84 años;Extranjera;Total Nacional;;;2023;3.816
Mujeres;85 años;Total;Total Nacional;;;2023;135.919
Mujeres;85 años;Española;Total Nacional;;;2023;132.761
Mujeres;85 años;Extranjera;Total Nacional;;;2023;3.158
Mujeres;86 años;Total;Total Nacional;;;2023;140.913
Mujeres;86 años;Española;Total Nacional;;;2023;138.161
Mujeres;86 años;Extranjera;Total Nacional;;;2023;2.752
Mujeres;87 años;Total;Total Nacional;;;2023;126.973
Mujeres;87 años;Española;Total Nacional;;;2023;124.750
Mujeres;87 años;Extranjera;Total Nacional;;;2023;2.223
Mujeres;88 años;Total;Total Nacional;;;2023;116.012
Mujeres;88 años;Española;Total Nacional;;;2023;114.227
Mujeres;88 años;Extranjera;Total Nacional;;;2023;1.785
Mujeres;89 años;Total;Total Nacional;;;2023;106.630
Mujeres;89 años;Española;Total Nacional;;;2023;105.139
Mujeres;89 años;Extranjera;Total Nacional;;;2023;1.491
Mujeres;90 años;Total;Total Nacional;;;2023;94.185
Mujeres;90 años;Española;Total Nacional;;;2023;92.935
Mujeres;90 años;Extranjera;Total Nacional;;;2023;1.250
Mujeres;91 años;Total;Total Nacional;;;2023;77.045
Mujeres;91 años;Española;Total Nacional;;;2023;76.108
Mujeres;91 años;Extranjera;Total Nacional;;;2023;937
Mujeres;92 años;Total;Total Nacional;;;2023;66.529
Mujeres;92 años;Española;Total Nacional;;;2023;65.630
Mujeres;92 años;Extranjera;Total Nacional;;;2023;899
Mujeres;93 años;Total;Total Nacional;;;2023;52.006
Mujeres;93 años;Española;Total Nacional;;;2023;51.371
Mujeres;93 años;Extranjera;Total Nacional;;;2023;635
Mujeres;94 años;Total;Total Nacional;;;2023;41.830
Mujeres;94 años;Española;Total Nacional;;;2023;41.338
Mujeres;94 años;Extranjera;Total Nacional;;;2023;492
Mujeres;95 años;Total;Total Nacional;;;2023;30.762
Mujeres;95 años;Española;Total Nacional;;;2023;30.413
Mujeres;95 años;Extranjera;Total Nacional;;;2023;349
Mujeres;96 años;Total;Total Nacional;;;2023;23.547
Mujeres;96 años;Española;Total Nacional;;;2023;23.268
Mujeres;96 años;Extranjera;Total Nacional;;;2023;279
Mujeres;97 años;Total;Total Nacional;;;2023;16.806
Mujeres;97 años;Española;Total Nacional;;;2023;16.643
Mujeres;97 años;Extranjera;Total Nacional;;;2023;163
Mujeres;98 años;Total;Total Nacional;;;2023;11.987
Mujeres;98 años;Española;Total Nacional;;;2023;11.854
Mujeres;98 años;Extranjera;Total Nacional;;;2023;133
Mujeres;99 años;Total;Total Nacional;;;2023;8.243
Mujeres;99 años;Española;Total Nacional;;;2023;8.155
Mujeres;99 años;Extranjera;Total Nacional;;;2023;88
Mujeres;100 y más años;Total;Total Nacional;;;2023;12.082
Mujeres;100 y más años;Española;Total Nacional;;;2023;11.906
Mujeres;100 y más años;Extranjera;Total Nacional;;;2023;176
